site_id,continent,first_year,last_year,span,igbp
SN-Dhr,Africa,2010,2022,12,GRA
BJ-Nhu,Africa,2008,2017,9,SAV
BJ-Bfg,Africa,2008,2017,9,DBF
KE-Kpt,Africa,2018,2024,6,GRA
SN-Nkr,Africa,2018,2024,6,CRO
GF-Guy,Americas,2017,2024,7,EBF
CR-AqC,Americas,2009,2016,7,EBF
GL-NuF,Americas,2019,2024,5,WET
GL-ZaH,Americas,2020,2024,4,GRA
GL-Dsk,Americas,2020,2024,4,OSH
IL-Yat,Asia,2000,2024,24,ENF
JP-Yms,Asia,2000,2023,23,DBF
JP-Tak,Asia,1998,2021,23,DBF
JP-Tef,Asia,2001,2023,22,DNF
JP-Api,Asia,2000,2022,22,DBF
DK-Sor,Europe,1996,2024,28,DBF
DE-Tha,Europe,1996,2024,28,ENF
BE-Vie,Europe,1996,2024,28,MF
NL-Loo,Europe,1997,2024,27,ENF
FR-Hes,Europe,1997,2024,27,DBF
AU-How,Oceania,2002,2025,23,WSA
AU-Tum,Oceania,2002,2022,20,EBF
AU-DaS,Oceania,2007,2025,18,WSA
AU-Stp,Oceania,2008,2025,17,GRA
AU-Cow,Oceania,2009,2025,16,EBF
