site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label
UK-Gri,56.60721969604492,-3.798059940338135,346.9034729003906,exact,4,263.9–394.0 mm yr-1
US-Atq,70.46959686279297,-157.4089965820312,106.5504150390625,exact,2,5.0–143.4 mm yr-1
US-Brw,71.32250213623047,-156.6259002685547,79.7755126953125,exact,2,5.0–143.4 mm yr-1
US-HVa,69.13330078125,-148.8329925537109,130.0198516845703,exact,2,5.0–143.4 mm yr-1
US-Blo,38.89519882202148,-120.6327514648438,448.172119140625,exact,5,394.0–634.7 mm yr-1
US-NR1,40.03290176391602,-105.5459976196289,339.7502136230469,exact,4,263.9–394.0 mm yr-1
BE-Bra,51.30920028686523,4.520559787750244,431.9701843261719,exact,5,394.0–634.7 mm yr-1
US-Bo1,40.00619888305664,-88.29039764404297,690.77618408203125,exact,6,634.7–968.6 mm yr-1
IT-Cpz,41.7052001953125,12.37609958648682,459.58953857421875,exact,5,394.0–634.7 mm yr-1
US-Dk3,35.97819900512695,-79.09420013427734,793.1142578125,exact,6,634.7–968.6 mm yr-1
SE-Fla,64.11280059814453,19.45689964294434,283.73486328125,exact,4,263.9–394.0 mm yr-1
IS-Gun,63.83330154418945,-20.21669960021973,309.1252746582031,exact,4,263.9–394.0 mm yr-1
FR-Hes,48.67419815063477,7.064620018005371,500.23486328125,exact,5,394.0–634.7 mm yr-1
US-Ho1,45.2041015625,-68.74019622802734,517.37811279296875,exact,5,394.0–634.7 mm yr-1
US-Ha1,42.53779983520508,-72.17150115966797,548.44464111328125,exact,5,394.0–634.7 mm yr-1
FI-Hyy,61.8474006652832,24.2947998046875,298.6543273925781,exact,4,263.9–394.0 mm yr-1
CA-Ojp,53.91630172729492,-104.6920013427734,360.9790954589844,exact,4,263.9–394.0 mm yr-1
NL-Loo,52.16790008544922,5.743959903717041,415.8315124511719,exact,5,394.0–634.7 mm yr-1
US-LWW,34.96039962768555,-97.97889709472656,710.38299560546875,exact,6,634.7–968.6 mm yr-1
BR-Ma2,-2.609100103378296,-60.20930099487305,1175.1846923828125,exact,7,>968.6 mm yr-1
US-Me2,44.45230102539062,-121.5574035644531,423.4471435546875,exact,5,394.0–634.7 mm yr-1
CA-Obs,53.98720169067383,-105.1179962158203,358.8319396972656,exact,4,263.9–394.0 mm yr-1
SE-Nor,60.08649826049805,17.4795036315918,333.17401123046875,exact,4,263.9–394.0 mm yr-1
US-Pon,36.76670074462891,-97.13330078125,719.3955078125,exact,6,634.7–968.6 mm yr-1
US-SO2,33.3739013671875,-116.6228866577148,315.0103454589844,exact,4,263.9–394.0 mm yr-1
US-SO3,33.37720108032227,-116.622688293457,315.0103454589844,exact,4,263.9–394.0 mm yr-1
DK-Sor,55.48690032958984,11.64579963684082,372.0376892089844,exact,4,263.9–394.0 mm yr-1
DE-Tha,50.96360015869141,13.5669002532959,450.4152526855469,exact,5,394.0–634.7 mm yr-1
US-Upa,70.28150177001953,-148.8849945068359,107.34848022460938,exact,2,5.0–143.4 mm yr-1
BE-Vie,50.30550003051758,5.996829986572266,488.7662048339844,exact,5,394.0–634.7 mm yr-1
US-WBW,35.95880126953125,-84.28739929199219,758.343017578125,exact,6,634.7–968.6 mm yr-1
DE-Bay,50.14189910888672,11.86690044403076,471.3293762207031,exact,5,394.0–634.7 mm yr-1
US-PFa,45.94589996337891,-90.27230072021484,509.120361328125,exact,5,394.0–634.7 mm yr-1
US-WCr,45.80590057373047,-90.07990264892578,509.120361328125,exact,5,394.0–634.7 mm yr-1
US-Wrc,45.82049942016602,-121.9520034790039,477.50738525390625,exact,5,394.0–634.7 mm yr-1
