bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 mm yr-1,0,5,15326106.580406183,0.09260762058041341
2,5.0–28.1 mm yr-1,5,28.1,5108090.278552668,0.030865509379366895
3,28.1–56.2 mm yr-1,28.1,56.2,5109903.9201953495,0.030876468264210418
4,56.2–88.7 mm yr-1,56.2,88.7,5110720.569434513,0.030881402847073393
5,88.7–118.7 mm yr-1,88.7,118.7,5107708.939227181,0.03086320514590865
6,118.7–148.6 mm yr-1,118.7,148.6,5096541.290701055,0.03079572490544073
7,148.6–173.8 mm yr-1,148.6,173.8,5095434.569220052,0.030789037568218897
8,173.8–198.4 mm yr-1,173.8,198.4,5100078.538993831,0.030817098640908213
9,198.4–223.6 mm yr-1,198.4,223.6,5107160.975110018,0.030859894086261008
10,223.6–248.2 mm yr-1,223.6,248.2,5118274.367296581,0.030927046484136824
11,248.2–272.8 mm yr-1,248.2,272.8,5087826.214445526,0.030743064272359052
12,272.8–298.5 mm yr-1,272.8,298.5,5118122.6894830605,0.030926129974693847
13,298.5–322.2 mm yr-1,298.5,322.2,5104972.209927992,0.03084666852669353
14,322.2–350.2 mm yr-1,322.2,350.2,5087124.168592879,0.030738822177629323
15,350.2–378.9 mm yr-1,350.2,378.9,5112759.6861319225,0.03089372415936769
16,378.9–410.6 mm yr-1,378.9,410.6,5120930.333361658,0.030943095093504028
17,410.6–445.7 mm yr-1,410.6,445.7,5080481.090127567,0.03069868154003334
18,445.7–491.0 mm yr-1,445.7,491,5101967.862338918,0.0308285148305698
19,491.0–545.2 mm yr-1,491,545.2,5099565.532090715,0.030813998809363287
20,545.2–611.5 mm yr-1,545.2,611.5,5104637.9323599525,0.03084464866274262
21,611.5–682.7 mm yr-1,611.5,682.7,5107608.309728746,0.030862597094649103
22,682.7–749.6 mm yr-1,682.7,749.6,5097304.445261816,0.030800336248030337
23,749.6–813.4 mm yr-1,749.6,813.4,5107513.683120264,0.030862025315703864
24,813.4–881.4 mm yr-1,813.4,881.4,5099684.260099111,0.03081471622042239
25,881.4–954.8 mm yr-1,881.4,954.8,5107702.645706089,0.030863167117462856
26,954.8–1000.1 mm yr-1,954.8,1000.1,2723978.7355760154,0.01645957424932982
27,1000.1–1000.1 mm yr-1,1000.1,1000.1,0,0
28,1000.1–1000.1 mm yr-1,1000.1,1000.1,0,0
29,1000.1–1000.1 mm yr-1,1000.1,1000.1,0,0
30,>1000.1 mm yr-1,1000.1,NA,22789448.840884574,0.1377046819047664
